title,link,citation_id,authors,publication,year,cited_by.value,cited_by.link,cited_by.serpapi_link,cited_by.cites_id
Identification of student group activities in educational institute using cognitive analytics,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=U4Hi0MkAAAAJ&pagesize=100&citation_for_view=U4Hi0MkAAAAJ:LkGwnXOMwfcC,U4Hi0MkAAAAJ:LkGwnXOMwfcC,"G Shidaganti, I Yadav, H Dagdi, Jagdish, Aman","International Conference on Innovative Computing and Communications …, 2021",2021,2.0,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10071253762735249801,https://serpapi.com/search.json?cites=10071253762735249801&engine=google_scholar&hl=en,10071253762735249801
Unsupervised Techniques to Develop a Social Networking Platform in an Educational Institute,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=U4Hi0MkAAAAJ&pagesize=100&citation_for_view=U4Hi0MkAAAAJ:zYLM7Y9cAGgC,U4Hi0MkAAAAJ:zYLM7Y9cAGgC,"G Shidhaganti, A Patil","2019 IEEE Tenth International Conference on Technology for Education (T4E …, 2019",2019,2.0,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15274576335577918752,https://serpapi.com/search.json?cites=15274576335577918752&engine=google_scholar&hl=en,15274576335577918752
A non-intricate modeling of transformation and extracting knowledge from educational big data,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=U4Hi0MkAAAAJ&pagesize=100&citation_for_view=U4Hi0MkAAAAJ:UeHWp8X0CEIC,U4Hi0MkAAAAJ:UeHWp8X0CEIC,"G Shidaganti, S Prakash","2018 3rd International Conference on Circuits, Control, Communication and …, 2018",2018,2.0,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9356789677641001330,https://serpapi.com/search.json?cites=9356789677641001330&engine=google_scholar&hl=en,9356789677641001330
A Conceptual Framework for Educational System Operation Management Synchronous with Big Data Approach,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=U4Hi0MkAAAAJ&pagesize=100&citation_for_view=U4Hi0MkAAAAJ:u-x6o8ySG0sC,U4Hi0MkAAAAJ:u-x6o8ySG0sC,"GI Shidaganti, S Prakash","Applied Big Data Analytics in Operations Management, 107-132, 2017",2017,2.0,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17572429821581448010,https://serpapi.com/search.json?cites=17572429821581448010&engine=google_scholar&hl=en,17572429821581448010
Confluence of Teaching and Learning Through Digital Pedagogy,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=U4Hi0MkAAAAJ&pagesize=100&citation_for_view=U4Hi0MkAAAAJ:ZeXyd9-uunAC,U4Hi0MkAAAAJ:ZeXyd9-uunAC,"KG Srinivasa, GM Siddesh","Cambridge Scholars Publishing, 2024",2024,1.0,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12345250437734643357,https://serpapi.com/search.json?cites=12345250437734643357&engine=google_scholar&hl=en,12345250437734643357
Image Segmentation Techniques for Bone Cancer Identification in X-ray and MRI Imagery,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=U4Hi0MkAAAAJ&pagesize=100&citation_for_view=U4Hi0MkAAAAJ:L8Ckcad2t8MC,U4Hi0MkAAAAJ:L8Ckcad2t8MC,"M Likitha, GI Shidaganti","2024 Second International Conference on Networks, Multimedia and Information …, 2024",2024,1.0,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16029953590878271071,https://serpapi.com/search.json?cites=16029953590878271071&engine=google_scholar&hl=en,16029953590878271071
Innovative Agriculture System with Intelligent Integration of IoT and Machine Learning,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=U4Hi0MkAAAAJ&pagesize=100&citation_for_view=U4Hi0MkAAAAJ:7PzlFSSx8tAC,U4Hi0MkAAAAJ:7PzlFSSx8tAC,"GI Shidaganti, MR Bhavani, CD Sneha, C Vanitha","2024 Second International Conference on Networks, Multimedia and Information …, 2024",2024,1.0,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1493501104291930662,https://serpapi.com/search.json?cites=1493501104291930662&engine=google_scholar&hl=en,1493501104291930662
Deep Learning Driven Web Security: Detecting and Preventing Explicit Content,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=U4Hi0MkAAAAJ&pagesize=100&citation_for_view=U4Hi0MkAAAAJ:aqlVkmm33-oC,U4Hi0MkAAAAJ:aqlVkmm33-oC,"G Shidaganti, S Kumaran, V D, TBN Shetty","International Journal of Advanced Computer Science and Applications 14 (10 …, 2023",2023,1.0,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16717605595566082739,https://serpapi.com/search.json?cites=16717605595566082739&engine=google_scholar&hl=en,16717605595566082739
A comparison study on various continuous integration tools in software development,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=U4Hi0MkAAAAJ&pagesize=100&citation_for_view=U4Hi0MkAAAAJ:ufrVoPGSRksC,U4Hi0MkAAAAJ:ufrVoPGSRksC,"Sheeba, G Shidaganti, AP Gosar","Machine Learning for Predictive Analysis: Proceedings of ICTIS 2020, 65-76, 2020",2020,1.0,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3721794764901133522,https://serpapi.com/search.json?cites=3721794764901133522&engine=google_scholar&hl=en,3721794764901133522
Curriculum Enrichment in Empowering “Corporate-Ready” Individuals,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=U4Hi0MkAAAAJ&pagesize=100&citation_for_view=U4Hi0MkAAAAJ:IjCSPb-OGe4C,U4Hi0MkAAAAJ:IjCSPb-OGe4C,"G Shidaganti, S Prakash, KG Srinivasa","Fourth International Congress on Information and Communication Technology …, 2020",2020,1.0,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7038612172812866736,https://serpapi.com/search.json?cites=7038612172812866736&engine=google_scholar&hl=en,7038612172812866736
Rational Value Sequence based Singular Value Decomposition for facial recognition,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=U4Hi0MkAAAAJ&pagesize=100&citation_for_view=U4Hi0MkAAAAJ:d1gkVwhDpl0C,U4Hi0MkAAAAJ:d1gkVwhDpl0C,"GI Shidaganti, S Chickerur","2013 International Conference on Advances in Computing, Communications and …, 2013",2013,1.0,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16486334817746589917,https://serpapi.com/search.json?cites=16486334817746589917&engine=google_scholar&hl=en,16486334817746589917
CUDA-Powered EDSR x4: Super-Resolution for Real-Time Video Enhancement,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=U4Hi0MkAAAAJ&pagesize=100&citation_for_view=U4Hi0MkAAAAJ:R3hNpaxXUhUC,U4Hi0MkAAAAJ:R3hNpaxXUhUC,SKVD Ganeshayya Shidaganti,"Journal of Computer Science 21 (No. 6), 1284-1292, 2025",2025,,,,
