title,link,citation_id,authors,publication,year,cited_by.value,cited_by.link,cited_by.serpapi_link,cited_by.cites_id
HARfog: an ensemble deep learning model for activity recognition leveraging IoT and fog architectures,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=S0rWhnMAAAAJ&pagesize=100&citation_for_view=S0rWhnMAAAAJ:sJsF-0ZLhtgC,S0rWhnMAAAAJ:sJsF-0ZLhtgC,"R Raja Subramanian, V Vasudevan","Modern Approaches in Machine Learning and Cognitive Science: A Walkthrough …, 2021",2021,18,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=247520597052883417,https://serpapi.com/search.json?cites=247520597052883417&engine=google_scholar&hl=en,247520597052883417
PSO based fuzzy-genetic optimization technique for face recognition,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=S0rWhnMAAAAJ&pagesize=100&citation_for_view=S0rWhnMAAAAJ:eq2jaN3J8jMC,S0rWhnMAAAAJ:eq2jaN3J8jMC,"RR Subramanian, H Mohan, AM Jenny, D Sreshta, ML Prasanna, ...","2021 11th international conference on cloud computing, data science …, 2021",2021,18,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5758004462677796229,https://serpapi.com/search.json?cites=5758004462677796229&engine=google_scholar&hl=en,5758004462677796229
Oral cancer detection model in distributed cloud environment via optimized ensemble technique,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=S0rWhnMAAAAJ&pagesize=100&citation_for_view=S0rWhnMAAAAJ:jE2MZjpN3IcC,S0rWhnMAAAAJ:jE2MZjpN3IcC,"S Shetty, AP Patil","Biomedical Signal Processing and Control 81, 104311, 2023",2023,17,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=18015497397112853502,https://serpapi.com/search.json?cites=18015497397112853502&engine=google_scholar&hl=en,18015497397112853502
Audio emotion recognition by deep neural networks and machine learning algorithms,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=S0rWhnMAAAAJ&pagesize=100&citation_for_view=S0rWhnMAAAAJ:W5xh706n7nkC,S0rWhnMAAAAJ:W5xh706n7nkC,"RR Subramanian, Y Sireesha, YSPK Reddy, T Bindamrutha, M Harika, ...","2021 international conference on advancements in electrical, electronics …, 2021",2021,17,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10168188859660490339,https://serpapi.com/search.json?cites=10168188859660490339&engine=google_scholar&hl=en,10168188859660490339
"Classification of medicinal leaves using support vector machine, convolutional neural network and you only look once",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=S0rWhnMAAAAJ&pagesize=100&citation_for_view=S0rWhnMAAAAJ:a9-T7VOCCH8C,S0rWhnMAAAAJ:a9-T7VOCCH8C,"A Shastry, AP Patil","2020 IEEE bangalore humanitarian technology conference (B-HTC), 1-6, 2020",2020,17,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11829017667799078029,https://serpapi.com/search.json?cites=11829017667799078029&engine=google_scholar&hl=en,11829017667799078029
"Occurrence, molecular diagnosis and suitable time of detection of citrus greening disease in sweet orange",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=S0rWhnMAAAAJ&pagesize=100&citation_for_view=S0rWhnMAAAAJ:yFnVuubrUp4C,S0rWhnMAAAAJ:yFnVuubrUp4C,"K Gopal, E Pradeepthi, V Gopi, S Khayum Ahammed, Y Sreenivasulu, ...","Acta Phytopathologica et Entomologica Hungarica 42 (1), 49-58, 2007",2007,16,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14912314031116411568,https://serpapi.com/search.json?cites=14912314031116411568&engine=google_scholar&hl=en,14912314031116411568
Effect of surface roughness on the self-assembly of octadecanethiol monolayer onto polycrystalline noble metal surfaces,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=S0rWhnMAAAAJ&pagesize=100&citation_for_view=S0rWhnMAAAAJ:PaBasH6fAo0C,S0rWhnMAAAAJ:PaBasH6fAo0C,"R Subramanian, V Lakshminarayanan","Current Science, 665-669, 1999",1999,16,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17522041868313339962,https://serpapi.com/search.json?cites=17522041868313339962&engine=google_scholar&hl=en,17522041868313339962
Data confidentiality and privacy in cloud computing,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=S0rWhnMAAAAJ&pagesize=100&citation_for_view=S0rWhnMAAAAJ:u-x6o8ySG0sC,S0rWhnMAAAAJ:u-x6o8ySG0sC,"S Rajarajeswari, K Somasundaram","Indian Journal of Science and Technology 9 (4), 1-8, 2016",2016,15,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12944373769764156260,https://serpapi.com/search.json?cites=12944373769764156260&engine=google_scholar&hl=en,12944373769764156260
Convergence time evaluation of algorithms in MANETs,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=S0rWhnMAAAAJ&pagesize=100&citation_for_view=S0rWhnMAAAAJ:YohjEiUPhakC,S0rWhnMAAAAJ:YohjEiUPhakC,"AP Patil, N Sambaturu, K Chunhaviriyakul","arXiv preprint arXiv:0910.1475, 2009",2009,15,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8206381191185475264,https://serpapi.com/search.json?cites=8206381191185475264&engine=google_scholar&hl=en,8206381191185475264
Hybrid RNN based text classification model for unstructured data,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=S0rWhnMAAAAJ&pagesize=100&citation_for_view=S0rWhnMAAAAJ:DBa1UEJaJKAC,S0rWhnMAAAAJ:DBa1UEJaJKAC,"P Sunagar, BJ Sowmya, D Pruthviraja, S Supreeth, J Mathew, S Rohith, ...","SN Computer Science 5 (6), 726, 2024",2024,13,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14288894301309935900,https://serpapi.com/search.json?cites=14288894301309935900&engine=google_scholar&hl=en,14288894301309935900
